Date,equity
2022-09-14,1.136733625984039
2022-09-15,1.13714104402406
2022-09-16,1.1371434200533406
2022-09-19,1.1371542327615691
2022-09-20,1.1370699595724096
2022-09-21,1.1371545889714032
2022-09-22,1.1376997870308532
2022-09-23,1.1376675576971376
2022-09-26,1.1376887983719075
2022-09-27,1.1391404926343098
2022-09-28,1.1376743600610226
2022-09-29,1.1380498357415718
2022-09-30,1.138207380908211
2022-10-03,1.1375399072849808
2022-10-04,1.137919225273307
2022-10-05,1.1379034156072185
2022-10-06,1.1382457596780309
2022-10-07,1.1383926840427687
2022-10-10,1.1387825387248016
2022-10-11,1.1386613780334467
2022-10-12,1.1384306211565027
2022-10-13,1.1390208909333472
2022-10-14,1.1392235413842748
2022-10-17,1.1393830149628634
2022-10-18,1.1392855753735032
2022-10-19,1.1398360208127265
2022-10-20,1.1416947991947983
2022-10-21,1.1429936585486002
2022-10-24,1.1434785533404124
2022-10-25,1.1408853905175862
2022-10-26,1.1404571611562861
2022-10-27,1.1406980416829486
2022-10-28,1.1405466285556733
2022-10-31,1.1405531097289952
2022-11-01,1.14061733336998
2022-11-02,1.1410206711411797
2022-11-03,1.1414689170840537
2022-11-04,1.1419168994595308
2022-11-07,1.1419314776516636
2022-11-08,1.1418472646183166
2022-11-09,1.1424211898090046
2022-11-10,1.1421526731500182
2022-11-11,1.1420127895854826
2022-11-14,1.1419288521056552
2022-11-15,1.14228974374647
2022-11-16,1.1425742776019983
2022-11-17,1.1424316688964138
2022-11-18,1.142350436670677
2022-11-21,1.1425104059141282
2022-11-22,1.1429364696847975
2022-11-23,1.1433973372442414
2022-11-25,1.1433626849915068
2022-11-28,1.1435445682048058
2022-11-29,1.1435528417304748
2022-11-30,1.1437873651885249
2022-12-01,1.14499438017589
2022-12-02,1.1455172333205956
2022-12-05,1.143652067127738
2022-12-06,1.1449952811332333
2022-12-07,1.1470975024178425
2022-12-08,1.14706772072516
2022-12-09,1.145639702827005
2022-12-12,1.1457394254845037
2022-12-13,1.1464169037034395
2022-12-14,1.1469564753190389
2022-12-15,1.147310738283105
2022-12-16,1.1471756434469824
2022-12-19,1.146030013349594
2022-12-20,1.1456467752421855
2022-12-21,1.1460003993711547
2022-12-22,1.1463834222429545
2022-12-23,1.1462993254219636
2022-12-27,1.1461046019400436
2022-12-28,1.146441758824827
2022-12-29,1.1469759209433972
2022-12-30,1.1467699510560112
2023-01-03,1.1468834706606108
2023-01-04,1.1469290288912695
2023-01-05,1.1469348588654535
2023-01-06,1.1482184033935534
2023-01-09,1.1490314016066185
2023-01-10,1.1476082082658234
2023-01-11,1.148626978130236
2023-01-12,1.1511226524833431
2023-01-13,1.1500980574498543
2023-01-17,1.1499722860298272
2023-01-18,1.1515417278447508
2023-01-19,1.1513202240567648
2023-01-20,1.1504388205786469
2023-01-23,1.1499515789476755
2023-01-24,1.1506643367518976
2023-01-25,1.1510749812842316
2023-01-26,1.1511348798937986
2023-01-27,1.1511294030659145
2023-01-30,1.150552365889405
2023-01-31,1.1516164054119338
2023-02-01,1.1530974142080153
2023-02-02,1.153538531053396
2023-02-03,1.1509102962090143
2023-02-06,1.149714660810602
2023-02-07,1.1494600785519908
2023-02-08,1.1496204716652239
2023-02-09,1.149626805476972
2023-02-10,1.1496027926164194
2023-02-13,1.149919974643048
2023-02-14,1.1496408875093902
2023-02-15,1.1495697344359943
2023-02-16,1.1501072312998126
2023-02-17,1.150248719289086
2023-02-21,1.1499772112077757
2023-02-22,1.1503033559316334
2023-02-23,1.1506783402244776
2023-02-24,1.1506580320519004
2023-02-27,1.150805883858495
2023-02-28,1.1509502569452108
2023-03-01,1.150547393837836
2023-03-02,1.1509151641390036
2023-03-03,1.1508495592278571
2023-03-06,1.1508068301663172
2023-03-07,1.1508513860336782
2023-03-08,1.151122357408696
2023-03-09,1.1515094396971712
2023-03-10,1.1542885628727073
2023-03-13,1.1582700629094231
2023-03-14,1.1561840594518598
2023-03-15,1.1594337692100094
2023-03-16,1.1580767265956668
2023-03-17,1.1608134912313048
2023-03-20,1.1600384949331888
2023-03-21,1.1579280700694052
2023-03-22,1.161301639206723
2023-03-23,1.1628909601072706
2023-03-24,1.1634375555784178
2023-03-27,1.159515438643394
2023-03-28,1.1594123565434442
2023-03-29,1.1590682909927896
2023-03-30,1.159821235462674
2023-03-31,1.1624960471093282
2023-04-03,1.1642679855935234
2023-04-04,1.16642646649414
2023-04-05,1.1689144734480708
2023-04-06,1.1692416082000847
2023-04-10,1.165238684353557
2023-04-11,1.1654313230791387
2023-04-12,1.1657497299873016
2023-04-13,1.1653875817439154
2023-04-14,1.1643627716767093
2023-04-17,1.1637424625544015
2023-04-18,1.1640041147995093
2023-04-19,1.163973432823179
2023-04-20,1.1654431532657352
2023-04-21,1.1650024003129196
2023-04-24,1.165693508283456
2023-04-25,1.1680442810017415
2023-04-26,1.165977671225658
2023-04-27,1.1639033221419528
2023-04-28,1.1667062315553833
2023-05-01,1.1604248270585087
2023-05-02,1.1620455161936312
2023-05-03,1.1642068919977064
2023-05-04,1.163453595257099
2023-05-05,1.1621311617360757
2023-05-08,1.1607652275298725
2023-05-09,1.1604610692899615
2023-05-10,1.1613158131019254
2023-05-11,1.1623830464328326
2023-05-12,1.1617637656642188
2023-05-15,1.1613072896344583
2023-05-16,1.1606736223204166
2023-05-17,1.160344737842334
2023-05-18,1.1603660516931185
2023-05-19,1.1603357142042157
2023-05-22,1.1604604711900908
2023-05-23,1.16044027846361
2023-05-24,1.160417289485062
2023-05-25,1.1611495984635578
2023-05-26,1.1613767708403904
2023-05-30,1.1615197393682484
2023-05-31,1.1623252777423412
2023-06-01,1.1631310917025828
2023-06-02,1.1628621859943482
2023-06-05,1.1628172319635899
2023-06-06,1.1631118738490487
2023-06-07,1.1630392277335377
2023-06-08,1.1634665920311353
2023-06-09,1.1636055430154444
2023-06-12,1.1636885962995092
2023-06-13,1.1639129899242662
2023-06-14,1.1641848958895251
2023-06-15,1.164785726093538
2023-06-16,1.1647577024137354
2023-06-20,1.1652179874452036
2023-06-21,1.1653077901866782
2023-06-22,1.164132973717788
2023-06-23,1.1646570554657607
2023-06-26,1.1648797159527124
2023-06-27,1.1647105801632402
2023-06-28,1.1651118450930018
2023-06-29,1.164716819439573
2023-06-30,1.165093785461623
2023-07-03,1.165506950921606
2023-07-05,1.1657557636771392
2023-07-06,1.1665876362894307
2023-07-07,1.1671132493150314
2023-07-10,1.167085996285025
2023-07-11,1.166635852728356
2023-07-12,1.165476663472063
2023-07-13,1.1660515521896688
2023-07-14,1.165315681488196
2023-07-17,1.1654780329178365
2023-07-18,1.1656199391197724
2023-07-19,1.1664138340116204
2023-07-20,1.1659702285466955
2023-07-21,1.165964039812007
2023-07-24,1.1660857105239437
2023-07-25,1.166238854444069
2023-07-26,1.1662848944471225
2023-07-27,1.1684387955816569
2023-07-28,1.1679297465690732
2023-07-31,1.1678635204640024
2023-08-01,1.1693437597621825
2023-08-02,1.1710049794537516
2023-08-03,1.175099141432995
2023-08-04,1.1725715917647659
2023-08-07,1.1733548288840663
2023-08-08,1.171991911891643
2023-08-09,1.1716896840159106
2023-08-10,1.1725473926703256
2023-08-11,1.1727802331977029
2023-08-14,1.1732605067048438
2023-08-15,1.1737290238579212
2023-08-16,1.1752183586160154
2023-08-17,1.1764991534349343
2023-08-18,1.1760333264330625
2023-08-21,1.1777829752123883
2023-08-22,1.1768450694469994
2023-08-23,1.1743144753529942
2023-08-24,1.1745267263873187
2023-08-25,1.174686515240893
2023-08-28,1.1749317045919871
2023-08-29,1.1749412692001875
2023-08-30,1.17511070589784
2023-08-31,1.1759844786447848
2023-09-01,1.175936588681444
2023-09-05,1.176267188208304
2023-09-06,1.1761918779277454
2023-09-07,1.1765205938866985
2023-09-08,1.1764328137887814
2023-09-11,1.1770853138770483
2023-09-12,1.176700701091155
2023-09-13,1.1768348021917063
2023-09-14,1.1773425052279083
2023-09-15,1.1780989094443208
2023-09-18,1.1777237684615036
2023-09-19,1.1781382643054217
2023-09-20,1.1781197785085342
2023-09-21,1.1813221997422552
2023-09-22,1.1800004590060886
2023-09-25,1.1842199798818906
2023-09-26,1.1850503913015544
2023-09-27,1.1866143828391553
2023-09-28,1.1864324708603808
2023-09-29,1.1865422806656598
2023-10-02,1.189876368028366
2023-10-03,1.1942967660397705
2023-10-04,1.191899129695487
2023-10-05,1.1933869518552793
2023-10-06,1.1953728422513017
2023-10-09,1.1913309731075064
2023-10-10,1.1913033687435988
2023-10-11,1.1884114150536371
2023-10-12,1.1924255288468129
2023-10-13,1.189183630117265
2023-10-16,1.1914212894095262
2023-10-17,1.1939526755091572
2023-10-18,1.1958315907538053
2023-10-19,1.1997611292691424
2023-10-20,1.1986113446235895
2023-10-23,1.1963760779813377
2023-10-24,1.1945003801614524
2023-10-25,1.198553445514701
2023-10-26,1.1959497248564792
2023-10-27,1.196795612600845
2023-10-30,1.1974454243209647
2023-10-31,1.1985337378138365
2023-11-01,1.1944108614611175
2023-11-02,1.1937936201763377
2023-11-03,1.1940279551292634
2023-11-06,1.1933228547698895
2023-11-07,1.193659579520684
2023-11-08,1.194128780563284
2023-11-09,1.19269614125664
2023-11-10,1.1927730680446778
2023-11-13,1.1929557156236281
2023-11-14,1.1929947022662035
2023-11-15,1.1919593233526558
2023-11-16,1.1928744550292623
2023-11-17,1.1930310621587226
2023-11-20,1.1933106402304963
2023-11-21,1.1938302811483077
2023-11-22,1.1943275436060647
2023-11-24,1.19404655702089
2023-11-27,1.1942533513423075
2023-11-28,1.1951035839810304
2023-11-29,1.1964979692510487
2023-11-30,1.1952216875768682
2023-12-01,1.1971328579874383
2023-12-04,1.196157827866116
2023-12-05,1.1980630053713648
2023-12-06,1.2003334689267096
2023-12-07,1.1996956621220463
2023-12-08,1.1974657429521645
2023-12-11,1.1974305881041334
2023-12-12,1.1977572881666647
