Date,SHY,IEF,TLT,BIL,TBF
2011-03-15,23506.657854169127,26695.684819640363,24848.556900749638,20882.057232060928,17908.440826249924
2011-03-16,23548.656357998596,26922.855897068253,25129.475522088258,20882.050903414307,17700.915148845157
2011-03-17,23537.43442477198,26840.507563944306,24936.85994000939,20882.048793865433,17822.989606252508
2011-03-18,23526.27006676247,26823.474462911883,25003.748165768775,20882.048793865433,17790.438818111146
2011-03-21,23501.057355777106,26684.33631654014,24856.58458878084,20882.048793865433,17888.096583661576
2011-03-22,23495.449006219114,26698.519728333533,24939.505254351105,20872.93976183193,17835.196151805518
2011-03-23,23498.24925541512,26664.441701832016,24907.40979306065,20877.502716044175,17851.471545876197
2011-03-24,23481.458228460368,26528.144376371787,24720.13682850198,20872.93976183193,17973.549604034448
2011-03-25,23464.682903837554,26457.153414675573,24658.603452930267,20872.946090478552,18026.450035890506
2011-03-28,23453.458353555612,26465.684745737628,24693.4008046495,20877.50271604418,18002.036944784486
2011-03-29,23445.075925354853,26389.01509832755,24503.43206599578,20872.946090478556,18144.455644780188
2011-03-30,23459.0667031136,26479.87406974936,24698.731189502218,20877.49427784869,18006.102192551258
2011-03-31,23445.06545713356,26411.73279729217,24647.92127605675,20872.950309576303,18034.5859325504
2011-04-01,23463.85068024473,26468.096930819618,24767.726492234364,20872.939761831938,17957.27420996377
2011-04-04,23469.466880968685,26527.899019310746,24794.592488178776,20872.946090478556,17932.853917355947
2011-04-05,23444.241084706704,26394.070045006727,24695.189832267886,20872.939761831938,17997.96269514047
2011-04-06,23444.23846765138,26280.203675921715,24324.463553569956,20872.95663822292,18250.252907741407
2011-04-07,23461.042579882753,26283.026760178214,24276.094057285973,20877.502716044175,18290.941392918106
2011-04-08,23452.64444935005,26206.162009562973,24147.13880583623,20872.9503095763,18384.532110326316
2011-04-11,23449.83373193275,26240.31985101206,24168.614782673983,20872.946090478552,18380.468662934996
2011-04-12,23489.052923008803,26388.364754310336,24429.224117835387,20877.50271604418,18193.28542774313
2011-04-13,23500.272239180096,26490.87966418596,24582.35112021793,20877.494277848684,18079.34866737112
2011-04-14,23477.851926224772,26402.613200505457,24563.552568474013,20872.946090478552,18079.346866995667
2011-04-15,23522.661147471543,26596.223570536422,24896.692447268157,20877.50271604418,17851.476947002553
2011-04-18,23528.290433472117,26661.704344741418,24953.114096918292,20872.946090478556,17786.366368842584
2011-04-19,23533.87522953219,26695.86809840884,25060.564318945035,20872.946090478556,17725.331840702085
2011-04-20,23531.080214446833,26590.527148167548,24899.38516319634,20872.94187138081,17835.194351430073
2011-04-21,23525.479716054815,26610.466104513205,24877.87554652303,20872.95663822292,17843.337449591763
2011-04-25,23528.272114084848,26704.42307834425,24971.91876499595,20872.948200027426,17778.230472182695
2011-04-26,23550.68195881888,26818.313096302612,25213.698966744745,20872.946090478552,17603.253782543838
2011-04-27,23559.098408738846,26741.442433469037,24955.800696512735,20872.941871380805,17774.161623665022
2011-04-28,23559.111494015462,26843.94847501715,25146.52938963341,20872.9503095763,17652.087166257676
2011-04-29,23570.304639633523,26898.071877794413,25224.469830457467,20872.95663822292,17591.047236990828
2011-05-02,23566.379056648464,26889.738606046685,25264.9202036341,20872.948200027426,17562.563496991686
2011-05-03,23574.790272457783,26961.119774153227,25407.935377264206,20872.948200027426,17456.76263327957
2011-05-04,23586.012205684397,27029.630560256555,25521.24810517887,20882.04668431656,17371.313213657602
2011-05-05,23591.610087021087,27163.790618787516,25764.07114183001,20882.04668431656,17208.544869947204
2011-05-06,23594.418187383064,27178.098187166015,25650.759942998782,20882.050903414307,17285.858392909282
2011-05-09,23605.642737665006,27218.029309822374,25623.76856221274,20882.04668431656,17298.063138086847
2011-05-10,23583.209339433062,27086.724852748775,25440.290782738528,20882.050903414307,17424.208244387315
2011-05-11,23605.63750355436,27183.759136224864,25585.99561412994,20882.048793865433,17322.481630319216
2011-05-12,23594.418187383064,27123.835847257807,25424.11308000137,20882.05723206092,17432.351342549005
2011-05-13,23605.627035333066,27229.469452306843,25653.466420677873,20877.49427784868,17273.653647731728
2011-05-16,23616.856819725657,27295.100988079463,25796.43266363807,20877.500606495298,17167.85098364416
2011-05-17,23619.654451866343,27375.04600444892,26060.875410969802,20877.500606495298,16996.94674327387
2011-05-18,23608.448220971666,27218.02635371322,25715.522742784196,20872.939761831927,17224.82206439334
2011-05-19,23611.243236057024,27246.57054385016,25704.730471903393,20882.057232060917,17228.88911253556
2011-05-20,23619.646600700373,27312.234596823637,25718.213929628942,20877.502716044168,17224.82206439334
2011-05-23,23622.457318117675,27349.35445966017,25842.32045750784,20877.500606495298,17135.3037962537
2011-05-24,23622.467786338966,27377.90751812462,25939.450895435042,20877.494277848677,17078.33091512907
2011-05-25,23633.668783122997,27380.73651459946,25818.032496234016,20877.502716044168,17143.43609216269
2011-05-26,23647.696199656268,27532.039050202096,26039.296985541936,20877.502716044168,17001.019192542444
2011-05-27,23656.086479022997,27529.177536526393,26028.486365659923,20877.500606495298,17009.155089202333
2011-05-31,23656.099564299617,27571.99086562264,26087.860675422104,20877.500606495298,16964.394154757065
2011-06-01,23671.807130350495,27799.232889670584,26440.421442918007,20872.9418713808,16732.455386246278
2011-06-02,23657.782330872546,27633.214842624104,25936.735243255334,20872.95663822291,17049.84717512993
2011-06-03,23666.209249013802,27741.97601117406,26085.67102794387,20872.946090478545,16952.185808828603
2011-06-06,23669.022583486425,27724.809885229028,25887.99723786363,20872.95663822291,17074.26026623595
2011-06-07,23685.85286627103,27776.323043609966,26007.14341908097,20877.50060649529,16992.877894756202
2011-06-08,23688.65573252236,27836.429611345513,26210.2485135206,20877.50060649529,16862.665740313514
2011-06-09,23663.401148651817,27724.830577993216,26104.640837032457,20872.94820002742,16935.906814007023
2011-06-10,23683.04214885373,27813.519765284906,26305.027221125518,20877.50060649529,16809.765308457456
2011-06-13,23674.615230712472,27753.44275864105,26172.33336067839,20872.94820002742,16883.008182526417
2011-06-14,23654.98208167654,27533.06777619295,25776.976606017302,20877.494277848673,17143.43609216269
2011-06-15,23688.64003019042,27830.691803448273,26245.43578151564,20877.500606495287,16838.250848832045
2011-06-16,23691.458598773694,27907.961541019682,26364.588079066714,20877.50271604416,16760.940926620868
2011-06-17,23697.077416552973,27887.930945289783,26240.02588432433,20877.500606495287,16838.250848832045
2011-06-20,23697.069565387003,27845.02006459096,26272.515849140884,20877.50271604416,16817.906606243698
2011-06-21,23699.8802828043,27807.805606261016,26156.076145602638,20872.948200027407,16883.009982901865
2011-06-22,23694.253613859055,27796.359551558213,26172.330302511524,20877.502716044157,16883.01358365277
2011-06-23,23708.301966834915,27942.302661237256,26372.731977438936,20877.494277848662,16744.66013142384
2011-06-24,23722.33200042351,28059.64541470514,26261.696054758264,20872.94609047853,16813.83955810148
2011-06-27,23699.8802828043,27950.87833393685,25901.529626259085,20872.941871380783,17033.569980683806
2011-06-28,23657.784947927863,27693.327322578,25693.02380912875,20872.94609047853,17175.994081805853
2011-06-29,23657.795416149154,27527.338836623218,25522.430086673754,20877.494277848662,17273.65004698083
2011-06-30,23654.971613455236,27432.92366587096,25481.796223484977,20877.50060649528,17314.34213290843
2011-07-01,23646.822103178256,27364.347845365908,25441.03238820427,20872.93976183191,17346.89832217614
2011-07-05,23674.924043240622,27536.467301737433,25498.08707839629,20872.950309576278,17298.06313808685
2011-07-06,23683.345727271233,27585.260839682793,25628.519424443773,20877.502716044153,17224.822064393342
2011-07-07,23660.891392596706,27479.10695941999,25552.45669807731,20872.94609047853,17265.514150320938
2011-07-08,23694.5728946085,27771.714469415332,25913.844864240662,20872.941871380783,17013.223937720002
